"","time","country","cum_confirm","cum_heal","cum_dead","angle"
"1",2020-03-14,"中国",81048,67022,3204,12
"2",2020-03-14,"意大利",17660,1439,1266,24
"3",2020-03-14,"伊朗",12729,4339,611,36
"4",2020-03-14,"韩国",8086,714,72,48
"5",2020-03-14,"西班牙",5753,193,136,60
"6",2020-03-14,"德国",3718,46,8,72
"7",2020-03-14,"法国",3667,12,79,84
"8",2020-03-14,"美国",2291,41,50,96
"9",2020-03-14,"瑞士",1189,4,11,108
"10",2020-03-14,"英国",1140,19,21,120
"11",2020-03-14,"挪威",1002,1,1,132
"12",2020-03-14,"丹麦",827,1,0,144
"13",2020-03-14,"瑞典",814,1,2,156
"14",2020-03-14,"荷兰",807,0,10,168
"15",2020-03-14,"日本",786,135,21,180
"16",2020-03-14,"钻石号邮轮",697,390,7,192
"17",2020-03-14,"比利时",689,1,3,204
"18",2020-03-14,"奥地利",504,6,1,216
"19",2020-03-14,"卡塔尔",338,0,0,228
"20",2020-03-14,"马来西亚",238,32,0,240
"21",2020-03-14,"澳大利亚",236,27,3,252
"22",2020-03-14,"巴林",211,44,0,264
"23",2020-03-14,"芬兰",210,1,0,276
"24",2020-03-14,"新加坡",200,97,0,288
"25",2020-03-14,"加拿大",198,11,1,300
"26",2020-03-14,"希腊",190,0,3,312
"27",2020-03-14,"以色列",161,3,0,324
"28",2020-03-14,"巴西",151,0,0,336
"29",2020-03-14,"捷克",141,0,0,348
"30",2020-03-14,"斯洛文尼亚",141,0,0,360
